   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   2.0988624e-01	   5.4504287e-13	
   1.0000000e-02	   1.5829784e-02	   8.4995299e+01	   1.5225138e-01	   5.4703314e-13	
   2.0000000e-02	   2.3308049e-02	   8.6638363e+01	   1.2388884e-01	   5.4797591e-13	
   3.0000000e-02	   2.1658532e-02	   8.6158288e+01	   1.0582039e-01	   5.4776782e-13	
   4.0000000e-02	   2.4936024e-02	   8.7722332e+01	   9.3045931e-02	   5.4818136e-13	
   5.0000000e-02	   1.6668247e-02	   8.6557200e+01	   8.3368793e-02	   5.4713876e-13	
   6.0000000e-02	   1.1935838e-02	   8.6664973e+01	   7.5802509e-02	   5.4654288e-13	
   7.0000000e-02	   9.8674860e-03	   8.7691788e+01	   6.9689174e-02	   5.4628265e-13	
   8.0000000e-02	   5.2216903e-03	   8.8123549e+01	   6.4582315e-02	   5.4569859e-13	
   9.0000000e-02	  -1.4652438e-02	   8.3850913e+01	   6.0211041e-02	   5.4320707e-13	
   1.0000000e-01	  -1.3129250e-02	   8.7188772e+01	   5.6425491e-02	   5.4339762e-13	
   1.1000000e-01	  -9.6985922e-03	   8.9405242e+01	   5.3131858e-02	   5.4382704e-13	
   1.2000000e-01	  -1.7554981e-02	   8.9389901e+01	   5.0249644e-02	   5.4284415e-13	
   1.3000000e-01	  -3.5034888e-02	   8.7527675e+01	   4.7704363e-02	   5.4066365e-13	
   1.4000000e-01	  -4.5838028e-02	   8.6770097e+01	   4.5433671e-02	   5.3932041e-13	
   1.5000000e-01	  -4.3677446e-02	   8.8986831e+01	   4.3389443e-02	   5.3958879e-13	
   1.6000000e-01	  -4.5532268e-02	   8.9924461e+01	   4.1535271e-02	   5.3935838e-13	
   1.7000000e-01	  -5.9679234e-02	   8.8971928e+01	   3.9843241e-02	   5.3760430e-13	
   1.8000000e-01	  -6.9199710e-02	   8.8701283e+01	   3.8291501e-02	   5.3642707e-13	
   1.9000000e-01	  -7.0487684e-02	   8.9782945e+01	   3.6862520e-02	   5.3626801e-13	
   2.0000000e-01	  -7.7335990e-02	   8.9949675e+01	   3.5541803e-02	   5.3542305e-13	
   2.1000000e-01	  -9.0899660e-02	   8.9129133e+01	   3.4316980e-02	   5.3375345e-13	
   2.2000000e-01	  -1.0089054e-01	   8.8811717e+01	   3.3177218e-02	   5.3252697e-13	
   2.3000000e-01	  -1.0634290e-01	   8.9265611e+01	   3.2112867e-02	   5.3185882e-13	
   2.4000000e-01	  -1.1411821e-01	   8.9330991e+01	   3.1115282e-02	   5.3090747e-13	
   2.5000000e-01	  -1.2458993e-01	   8.8964877e+01	   3.0176779e-02	   5.2962889e-13	
   2.6000000e-01	  -1.3244130e-01	   8.9032866e+01	   2.9290702e-02	   5.2867227e-13	
   2.7000000e-01	  -1.3749401e-01	   8.9540168e+01	   2.8451525e-02	   5.2805755e-13	
   2.8000000e-01	  -1.4518635e-01	   8.9630160e+01	   2.7654938e-02	   5.2712307e-13	
   2.9000000e-01	  -1.5711540e-01	   8.9076212e+01	   2.6897832e-02	   5.2567717e-13	
   3.0000000e-01	  -1.6780822e-01	   8.8676247e+01	   2.6178155e-02	   5.2438449e-13	
   3.1000000e-01	  -1.7243047e-01	   8.9303270e+01	   2.5494619e-02	   5.2382668e-13	
   3.2000000e-01	  -1.7373391e-01	   9.0284042e+01	   2.4846325e-02	   5.2366949e-13	
   3.3000000e-01	  -1.7889905e-01	   9.0667594e+01	   2.4232390e-02	   5.2304705e-13	
   3.4000000e-01	  -1.9134460e-01	   9.0187810e+01	   2.3651673e-02	   5.2155030e-13	
   3.5000000e-01	  -2.0756820e-01	   8.9080405e+01	   2.3102644e-02	   5.1960562e-13	
   3.6000000e-01	  -2.2118240e-01	   8.8158298e+01	   2.2583397e-02	   5.1797932e-13	
   3.7000000e-01	  -2.2859184e-01	   8.8369439e+01	   2.2091751e-02	   5.1709635e-13	
   3.8000000e-01	  -2.3095977e-01	   8.9400277e+01	   2.1625394e-02	   5.1681449e-13	
   3.9000000e-01	  -2.3209345e-01	   9.0381623e+01	   2.1182011e-02	   5.1667960e-13	
   4.0000000e-01	  -2.3530433e-01	   9.0969157e+01	   2.0759384e-02	   5.1629774e-13	
   4.1000000e-01	  -2.4181937e-01	   9.1168969e+01	   2.0355455e-02	   5.1552380e-13	
   4.2000000e-01	  -2.5108462e-01	   9.1090355e+01	   1.9968359e-02	   5.1442515e-13	
   4.3000000e-01	  -2.6187888e-01	   9.0851108e+01	   1.9596434e-02	   5.1314815e-13	
   4.4000000e-01	  -2.7315310e-01	   9.0545019e+01	   1.9238223e-02	   5.1181776e-13	
   4.5000000e-01	  -2.8422658e-01	   9.0242114e+01	   1.8892461e-02	   5.1051441e-13	
   4.6000000e-01	  -2.9459261e-01	   9.0010059e+01	   1.8558068e-02	   5.0929733e-13	
   4.7000000e-01	  -3.0375147e-01	   8.9926839e+01	   1.8234139e-02	   5.0822440e-13	
   4.8000000e-01	  -3.1128386e-01	   9.0053615e+01	   1.7919935e-02	   5.0734370e-13	
   4.9000000e-01	  -3.1708956e-01	   9.0383942e+01	   1.7614873e-02	   5.0666593e-13	
   5.0000000e-01	  -3.2156970e-01	   9.0832704e+01	   1.7318515e-02	   5.0614353e-13	
   5.1000000e-01	  -3.2558212e-01	   9.1283596e+01	   1.7030555e-02	   5.0567612e-13	
   5.2000000e-01	  -3.3016110e-01	   9.1642398e+01	   1.6750791e-02	   5.0514324e-13	
   5.3000000e-01	  -3.3613696e-01	   9.1859081e+01	   1.6479107e-02	   5.0444865e-13	
